Название - Город;URL - нзвание поддомена/папки;SEO окончание для title и description 
Абаза;abaza;в Абазе
Абакан;abakan;в Абакане
Абдулино;abdulino;в Абдулино
Абинск;abinsk;в Абинске
Агидель;agidel;в Агидели
Агрыз;agryz;в Агрызе
Адыгейск;adygejsk;в Адыгейске
Азнакаево;aznakaevo;в Азнакаево
Азов;azov;в Азове
Ак-Довурак;ak-dovurak;в Ак-Довураке
Аксай;aksaj;в Аксае
Алагир;alagir;в Алагире
Алапаевск;alapaevsk;в Алапаевске
Алатырь;alatyr;в Алатыре
Алдан;aldan;в Алдане
Алейск;alejsk;в Алейске
Александров;aleksandrov;в Александрове
Александровск;aleksandrovsk;в Александровске
Александровск-Сахалинский;aleksandrovsk-sahalinskij;в Александровске-Сахалинском
Алексеевка;alekseevka;в Алексеевке
Алексин;aleksin;в Алексине
Алзамай;alzamaj;в Алзамае
Алушта;alushta;в Алуште
Альметьевск;almetevsk;в Альметьевске
Амурск;amursk;в Амурске
Анадырь;anadyr;в Анадыре
Анапа;anapa;в Анапе
Ангарск;angarsk;в Ангарске
Андреаполь;andreapol;в Андреаполе
Анжеро-Судженск;anzhero-sudzhensk;в Анжеро-Судженске
Анива;aniva;в Аниве
Апатиты;apatity;в Апатитах
Апрелевка;aprelevka;в Апрелевке
Апшеронск;apsheronsk;в Апшеронске
Арамиль;aramil;в Арамиле
Аргун;argun;в Аргуне
Ардатов;ardatov;в Ардатове
Ардон;ardon;в Ардоне
Арзамас;arzamas;в Арзамасе
Аркадак;arkadak;в Аркадаке
Армавир;armavir;в Армавире
Армянск;armyansk;в Армянске
Арсеньев;arsenev;в Арсеньеве
Арск;arsk;в Арске
Артём;artyom;в Артёме
Артёмовск;artyomovsk;в Артёмовске
Артёмовский;artyomovskij;в Артёмовском
Архангельск;arhangelsk;в Архангельске
Асбест;asbest;в Асбесте
Асино;asino;в Асино
Астрахань;astrahan;в Астрахани
Аткарск;atkarsk;в Аткарске
Ахтубинск;ahtubinsk;в Ахтубинске
Ачинск;achinsk;в Ачинске
Аша;asha;в Аше
Бабаево;babaevo;в Бабаево
Бабушкин;babushkin;в Бабушкине
Бавлы;bavly;в Бавлах
Багратионовск;bagrationovsk;в Багратионовске
Байкальск;bajkalsk;в Байкальске
Баймак;bajmak;в Баймаке
Бакал;bakal;в Бакале
Баксан;baksan;в Баксане
Балабаново;balabanovo;в Балабаново
Балаково;balakovo;в Балаково
Балахна;balahna;в Балахне
Балашиха;balashiha;в Балашихе
Балашов;balashov;в Балашове
Балей;balej;в Балее
Балтийск;baltijsk;в Балтийске
Барабинск;barabinsk;в Барабинске
Барнаул;barnaul;в Барнауле
Барыш;barysh;в Барыше
Батайск;batajsk;в Батайске
Бежецк;bezheck;в Бежецке
Белая Калитва;belaya kalitva;в Белой Калитве
Белая Холуница;belaya holunica;в Белой Холунице
Белгород;belgorod;в Белгороде
Белебей;belebej;в Белебее
Белёв;belyov;в Белёве
Белинский;belinskij;в Белинском
Белово;belovo;в Белово
Белогорск;belogorsk;в Белогорске
Белозерск;belozersk;в Белозерске
Белокуриха;belokuriha;в Белокурихе
Беломорск;belomorsk;в Беломорске
Белорецк;beloreck;в Белорецке
Белореченск;belorechensk;в Белореченске
Белоусово;belousovo;в Белоусово
Белоярский;beloyarskij;в Белоярском
Белый;belyj;в Белом
Бердск;berdsk;в Бердске
Березники;berezniki;в Березниках
Берёзовский;beryozovskij;в Берёзовском
Беслан;beslan;в Беслане
Бийск;bijsk;в Бийске
Бикин;bikin;в Бикине
Билибино;bilibino;в Билибино
Биробиджан;birobidzhan;в Биробиджане
Бирск;birsk;в Бирске
Бирюсинск;biryusinsk;в Бирюсинске
Бирюч;biryuch;в Бирюче
Благовещенск;blagoveshchensk;в Благовещенске
Благодарный;blagodarnyj;в Благодарном
Бобров;bobrov;в Боброве
Богданович;bogdanovich;в Богдановиче
Богородицк;bogorodick;в Богородицке
Богородск;bogorodsk;в Богородске
Боготол;bogotol;в Боготоле
Богучар;boguchar;в Богучаре
Бодайбо;bodajbo;в Бодайбо
Бокситогорск;boksitogorsk;в Бокситогорске
Болгар;bolgar;в Болгаре
Бологое;bologoe;в Бологом
Болотное;bolotnoe;в Болотном
Болохово;bolohovo;в Болохово
Болхов;bolhov;в Болхове
Большой Камень;bolshoj kamen;в Большом Камень
Бор;bor;в Бору
Борзя;borzya;в Борзе
Борисоглебск;borisoglebsk;в Борисоглебске
Боровичи;borovichi;в Боровичах
Боровск;borovsk;в Боровске
Бородино;borodino;в Бородино
Братск;bratsk;в Братске
Бронницы;bronnicy;в Бронницах
Брянск;bryansk;в Брянске
Бугульма;bugulma;в Бугульме
Бугуруслан;buguruslan;в Бугуруслане
Будённовск;budyonnovsk;в Будённовске
Бузулук;buzuluk;в Бузулуке
Буй;buj;в Буе
Буйнакск;bujnaksk;в Буйнакске
Буинск;buinsk;в Буинске
Бутурлиновка;buturlinovka;в Бутурлиновке
Валдай;valdaj;в Валдае
Валуйки;valujki;в Валуйках
Велиж;velizh;в Велиже
Великие Луки;velikie luki;в Великих Луках
Великий Новгород;velikij novgorod;в Великом Новгороде
Великий Устюг;velikij ustyug;в Великом Устюге
Вельск;velsk;в Вельске
Венёв;venyov;в Венёве
Верещагино;vereshchagino;в Верещагино
Верея;vereya;в Верее
Верхнеуральск;verhneuralsk;в Верхнеуральске
Верхний Тагил;verhnij tagil;в Верхнем Тагиле
Верхний Уфалей;verhnij ufalej;в Верхнем Уфалее
Верхняя Пышма;verhnyaya pyshma;в Верхней Пышме
Верхняя Салда;verhnyaya salda;в Верхней Салде
Верхняя Тура;verhnyaya tura;в Верхней Туре
Верхотурье;verhoture;в Верхотурье
Верхоянск;verhoyansk;в Верхоянске
Весьегонск;vesegonsk;в Весьегонске
Ветлуга;vetluga;в Ветлуге
Видное;vidnoe;в Видном
Вилюйск;vilyujsk;в Вилюйске
Вилючинск;vilyuchinsk;в Вилючинске
Вихоревка;vihorevka;в Вихоревке
Вичуга;vichuga;в Вичуге
Владивосток;vladivostok;во Владивостоке
Владикавказ;vladikavkaz;во Владикавказе
Владимир;vladimir;во Владимире
Волгоград;volgograd;в Волгограде
Волгодонск;volgodonsk;в Волгодонске
Волгореченск;volgorechensk;в Волгореченске
Волжск;volzhsk;в Волжске
Волжский;volzhskij;в Волжском
Вологда;vologda;в Вологде
Володарск;volodarsk;в Володарске
Волоколамск;volokolamsk;в Волоколамске
Волосово;volosovo;в Волосово
Волхов;volhov;в Волхове
Волчанск;volchansk;в Волчанске
Вольск;volsk;в Вольске
Воркута;vorkuta;в Воркуте
Воронеж;voronezh;в Воронеже
Ворсма;vorsma;в Ворсме
Воскресенск;voskresensk;в Воскресенске
Воткинск;votkinsk;в Воткинске
Всеволожск;vsevolozhsk;во Всеволожске
Вуктыл;vuktyl;в Вуктылу
Выборг;vyborg;в Выборге
Выкса;vyksa;в Выксе
Высоковск;vysokovsk;в Высоковске
Высоцк;vysock;в Высоцке
Вытегра;vytegra;в Вытегре
Вышний Волочёк;vyshnij volochyok;в Вышнем Волочке
Вяземский;vyazemskij;в Вяземском
Вязники;vyazniki;в Вязниках
Вязьма;vyazma;в Вязьме
Вятские Поляны;vyatskie polyany;на Вятских Полянах
Гаврилов Посад;gavrilov posad;в Гавриловом Посаде
Гаврилов-Ям;gavrilov-yam;в Гавриловом-Яме
Гагарин;gagarin;в Гагарине
Гаджиево;gadzhievo;в Гаджиево
Гай;gaj;в Гае
Галич;galich;в Галиче
Гатчина;gatchina;в Гатчине
Гвардейск;gvardejsk;в Гвардейске
Гдов;gdov;в Гдове
Геленджик;gelendzhik;в Геленджике
Георгиевск;georgievsk;в Георгиевске
Глазов;glazov;в Глазове
Голицыно;golicyno;в Голицыно
Горбатов;gorbatov;в Горбатове
Горно-Алтайск;gorno-altajsk;в Горно-Алтайске
Горнозаводск;gornozavodsk;в Горнозаводске
Горняк;gornyak;в Горняке
Городец;gorodec;в Городце
Городище;gorodishche;в Городище
Городовиковск;gorodovikovsk;в Городовиковске
Гороховец;gorohovec;в Гороховце
Горячий Ключ;goryachij klyuch;в Горячем Ключе
Грайворон;grajvoron;в Грайвороне
Гремячинск;gremyachinsk;в Гремячинске
Грозный;groznyj;в Грозном
Грязи;gryazi;в Грязях
Грязовец;gryazovec;в Грязовце
Губаха;gubaha;в Губахе
Губкин;gubkin;в Губкине
Губкинский;gubkinskij;в Губкинском
Гудермес;gudermes;в Гудермесе
Гуково;gukovo;в Гуково
Гулькевичи;gulkevichi;в Гулькевичах
Гурьевск;gurevsk;в Гурьевске
Гусев;gusev;в Гусеве
Гусиноозёрск;gusinoozyorsk;в Гусиноозёрске
Гусь-Хрустальный;gus-hrustalnyj;в Гусь-Хрустальном
Давлеканово;davlekanovo;в Давлеканово
Дагестанские Огни;dagestanskie ogni;в Дагестанских Огнях
Далматово;dalmatovo;в Далматово
Дальнегорск;dalnegorsk;в Дальнегорске
Дальнереченск;dalnerechensk;в Дальнереченске
Данилов;danilov;в Данилове
Данков;dankov;в Данкове
Дегтярск;degtyarsk;в Дегтярске
Дедовск;dedovsk;в Дедовске
Демидов;demidov;в Демидове
Дербент;derbent;в Дербенте
Десногорск;desnogorsk;в Десногорске
Джанкой;dzhankoj;в Джанком
Дзержинск;dzerzhinsk;в Дзержинске
Дзержинский;dzerzhinskij;в Дзержинском
Дивногорск;divnogorsk;в Дивногорске
Дигора;digora;в Дигоре
Димитровград;dimitrovgrad;в Димитровграде
Дмитриев;dmitriev;в Дмитриеве
Дмитров;dmitrov;в Дмитрове
Дмитровск;dmitrovsk;в Дмитровске
Дно;dno;в Дне
Добрянка;dobryanka;в Добрянке
Долгопрудный;dolgoprudnyj;в Долгопрудном
Долинск;dolinsk;в Долинске
Домодедово;domodedovo;в Домодедово
Донецк;doneck;в Донецке
Донской;donskoj;в Донском
Дорогобуж;dorogobuzh;в Дорогобуже
Дрезна;drezna;в Дрезне
Дубна;dubna;в Дубне
Дубовка;dubovka;в Дубовке
Дудинка;dudinka;в Дудинке
Духовщина;duhovshchina;в Духовщине
Дюртюли;dyurtyuli;в Дюртюлях
Дятьково;dyatkovo;в Дятьково
Евпатория;evpatoriya;в Евпатории
Егорьевск;egorevsk;в Егорьевске
Ейск;ejsk;в Ейске
Екатеринбург;ekaterinburg;в Екатеринбурге
Елабуга;elabuga;в Елабуге
Елец;elec;в Ельце
Елизово;elizovo;в Елизово
Ельня;elnya;в Ельне
Еманжелинск;emanzhelinsk;в Еманжелинске
Емва;emva;в Емве
Енисейск;enisejsk;в Енисейске
Ермолино;ermolino;в Ермолино
Ершов;ershov;в Ершове
Ессентуки;essentuki;в Ессентуках
Ефремов;efremov;в Ефремове
Железноводск;zheleznovodsk;в Железноводске
Железногорск;zheleznogorsk;в Железногорске
Железногорск-Илимский;zheleznogorsk-ilimskij;в Железногорске-Илимском
Железнодорожный;zheleznodorozhnyj;в Железнодорожном
Жердевка;zherdevka;в Жердевке
Жигулёвск;zhigulyovsk;в Жигулёвске
Жиздра;zhizdra;в Жиздре
Жирновск;zhirnovsk;в Жирновске
Жуков;zhukov;в Жукове
Жуковка;zhukovka;в Жуковке
Жуковский;zhukovskij;в Жуковском
Завитинск;zavitinsk;в Завитинске
Заводоуковск;zavodoukovsk;в Заводоуковске
Заволжск;zavolzhsk;в Заволжске
Заволжье;zavolzhe;в Заволжье
Задонск;zadonsk;в Задонске
Заинск;zainsk;в Заинске
Закаменск;zakamensk;в Закаменске
Заозёрный;zaozyornyj;в Заозёрном
Заозёрск;zaozyorsk;в Заозёрске
Западная Двина;zapadnaya dvina;в Западной Двине
Заполярный;zapolyarnyj;в Заполярном
Зарайск;zarajsk;в Зарайске
Заречный;zarechnyj;в Заречном
Заринск;zarinsk;в Заринске
Звенигово;zvenigovo;в Звенигово
Звенигород;zvenigorod;в Звенигороде
Зверево;zverevo;в Зверево
Зеленогорск;zelenogorsk;в Зеленогорске
Зеленоградск;zelenogradsk;в Зеленоградске
Зеленодольск;zelenodolsk;в Зеленодольске
Зеленокумск;zelenokumsk;в Зеленокумске
Зерноград;zernograd;в Зернограде
Зея;zeya;в Зее
Зима;zima;в Зиме
Златоуст;zlatoust;в Златоусте
Злынка;zlynka;в Злынке
Змеиногорск;zmeinogorsk;в Змеиногорске
Знаменск;znamensk;в Знаменске
Зубцов;zubcov;в Зубцове
Зуевка;zuevka;в Зуевке
Ивангород;ivangorod;в Ивангороде
Иваново;ivanovo;в Иваново
Ивантеевка;ivanteevka;в Ивантеевке
Ивдель;ivdel;в Ивделе
Игарка;igarka;в Игарке
Ижевск;izhevsk;в Ижевске
Избербаш;izberbash;в Избербаше
Изобильный;izobilnyj;в Изобильном
Иланский;ilanskij;в Иланском
Инза;inza;в Инзе
Инсар;insar;в Инсаре
Инта;inta;в Инте
Йошкар-Ола;joshkar-ola;в Йошкар-Оле
Ипатово;ipatovo;в Ипатово
Ирбит;irbit;в Ирбите
Иркутск;irkutsk;в Иркутске
Исилькуль;isilkul;в Исилькуле
Искитим;iskitim;в Искитиме
Истра;istra;в Истре
Ишим;ishim;в Ишиме
Ишимбай;ishimbaj;в Ишимбае
Кадников;kadnikov;в Кадникове
Казань;kazan;в Казани
Калач;kalach;в Калаче
Калачинск;kalachinsk;в Калачинске
Калач-на-Дону;kalach-na-donu;в Калаче-на-Дону
Калининград;kaliningrad;в Калининграде
Калининск;kalininsk;в Калининске
Калтан;kaltan;в Калтане
Калуга;kaluga;в Калуге
Калязин;kalyazin;в Калязине
Камбарка;kambarka;в Камбарке
Каменка;kamenka;в Каменке
Каменногорск;kamennogorsk;в Каменногорске
Каменск-Уральский;kamensk-uralskij;в Каменске-Уральском
Каменск-Шахтинский;kamensk-shahtinskij;в Каменске-Шахтинском
Камень-на-Оби;kamen-na-obi;в Камне-на-Оби
Камешково;kameshkovo;в Камешково
Камызяк;kamyzyak;в Камызяке
Камышин;kamyshin;в Камышине
Камышлов;kamyshlov;в Камышлове
Канаш;kanash;в Канаше
Кандалакша;kandalaksha;в Кандалакше
Канск;kansk;в Канске
Карабаново;karabanovo;в Карабаново
Карабаш;karabash;в Карабаше
Карабулак;karabulak;в Карабулаке
Карасук;karasuk;в Карасуке
Карачаевск;karachaevsk;в Карачаевске
Карачев;karachev;в Карачеве
Каргат;kargat;в Каргате
Каргополь;kargopol;в Каргополе
Карпинск;karpinsk;в Карпинске
Карталы;kartaly;в Карталах
Касимов;kasimov;в Касимове
Касли;kasli;в Каслях
Каспийск;kaspijsk;в Каспийске
Катав-Ивановск;katav-ivanovsk;в Катав-Ивановске
Катайск;katajsk;в Катайске
Качканар;kachkanar;в Качканаре
Кашин;kashin;в Кашине
Кашира;kashira;в Кашире
Кедровый;kedrovyj;в Кедровом
Кемерово;kemerovo;в Кемерово
Кемь;kem;в Кеми
Керчь;kerch;в Керчи
Кизел;kizel;в Кизеле
Кизилюрт;kizilyurt;в Кизилюрте
Кизляр;kizlyar;в Кизляре
Кимовск;kimovsk;в Кимовске
Кимры;kimry;в Кимрах
Кингисепп;kingisepp;в Кингисеппе
Кинель;kinel;в Кинеле
Кинешма;kineshma;в Кинешме
Киреевск;kireevsk;в Киреевске
Киренск;kirensk;в Киренске
Киржач;kirzhach;в Киржаче
Кириллов;kirillov;в Кириллове
Кириши;kirishi;в Киришах
Киров;kirov;в Кирове
Кировград;kirovgrad;в Кировграде
Кирово-Чепецк;kirovo-chepeck;в Кирово-Чепецке
Кировск;kirovsk;в Кировске
Кирс;kirs;в Кирсе
Кирсанов;kirsanov;в Кирсанове
Киселёвск;kiselyovsk;в Киселёвске
Кисловодск;kislovodsk;в Кисловодске
Климовск;klimovsk;в Климовске
Клин;klin;в Клине
Клинцы;klincy;в Клинцах
Княгинино;knyaginino;в Княгинино
Ковдор;kovdor;в Ковдоре
Ковров;kovrov;в Коврове
Ковылкино;kovylkino;в Ковылкино
Когалым;kogalym;в Когалыме
Кодинск;kodinsk;в Кодинске
Козельск;kozelsk;в Козельске
Козловка;kozlovka;в Козловке
Козьмодемьянск;kozmodemyansk;в Козьмодемьянске
Кола;kola;в Коле
Кологрив;kologriv;в Кологриве
Коломна;kolomna;в Коломне
Колпашево;kolpashevo;в Колпашево
Колпино;kolpino;в Колпино
Кольчугино;kolchugino;в Кольчугино
Коммунар;kommunar;в Коммунаре
Комсомольск;komsomolsk;в Комсомольске
Комсомольск-на-Амуре;komsomolsk-na-amure;в Комсомольске-на-Амуре
Конаково;konakovo;в Конаково
Кондопога;kondopoga;в Кондопоге
Кондрово;kondrovo;в Кондрово
Константиновск;konstantinovsk;в Константиновске
Копейск;kopejsk;в Копейске
Кораблино;korablino;в Кораблино
Кореновск;korenovsk;в Кореновске
Коркино;korkino;в Коркино
Королёв;korolyov;в Королёве
Короча;korocha;в Короче
Корсаков;korsakov;в Корсакове
Коряжма;koryazhma;в Коряжме
Костерёво;kosteryovo;в Костерёво
Костомукша;kostomuksha;в Костомукше
Кострома;kostroma;в Костроме
Котельники;kotelniki;в Котельниках
Котельниково;kotelnikovo;в Котельниково
Котельнич;kotelnich;в Котельниче
Котлас;kotlas;в Котласе
Котово;kotovo;в Котово
Котовск;kotovsk;в Котовске
Кохма;kohma;в Кохме
Красавино;krasavino;в Красавино
Красноармейск;krasnoarmejsk;в Красноармейске
Красновишерск;krasnovishersk;в Красновишерске
Красногорск;krasnogorsk;в Красногорске
Краснодар;krasnodar;в Краснодаре
Красное Село;krasnoe selo;в Красном Селе
Краснозаводск;krasnozavodsk;в Краснозаводске
Краснознаменск;krasnoznamensk;в Краснознаменске
Краснокаменск;krasnokamensk;в Краснокаменске
Краснокамск;krasnokamsk;в Краснокамске
Красноперекопск;krasnoperekopsk;в Красноперекопске
Краснослободск;krasnoslobodsk;в Краснослободске
Краснотурьинск;krasnoturinsk;в Краснотурьинске
Красноуральск;krasnouralsk;в Красноуральске
Красноуфимск;krasnoufimsk;в Красноуфимске
Красноярск;krasnoyarsk;в Красноярске
Красный Кут;krasnyj kut;в Красном Куте
Красный Сулин;krasnyj sulin;в Красном Сулине
Красный Холм;krasnyj holm;в Красном Холме
Кремёнки;kremyonki;в Кремёнках
Кронштадт;kronshtadt;в Кронштадте
Кропоткин;kropotkin;в Кропоткине
Крымск;krymsk;в Крымске
Кстово;kstovo;в Кстово
Кубинка;kubinka;в Кубинке
Кувандык;kuvandyk;в Кувандыке
Кувшиново;kuvshinovo;в Кувшиново
Кудымкар;kudymkar;в Кудымкаре
Кузнецк;kuzneck;в Кузнецке
Куйбышев;kujbyshev;в Куйбышеве
Кулебаки;kulebaki;в Кулебаках
Кумертау;kumertau;в Кумертау
Кунгур;kungur;в Кунгуре
Купино;kupino;в Купино
Курган;kurgan;в Кургане
Курганинск;kurganinsk;в Курганинске
Курильск;kurilsk;в Курильске
Курлово;kurlovo;в Курлово
Куровское;kurovskoe;в Куровском
Курск;kursk;в Курске
Куртамыш;kurtamysh;в Куртамыше
Курчатов;kurchatov;в Курчатове
Куса;kusa;в Кусе
Кушва;kushva;в Кушве
Кызыл;kyzyl;в Кызыле
Кыштым;kyshtym;в Кыштыме
Кяхта;kyahta;в Кяхте
Лабинск;labinsk;в Лабинске
Лабытнанги;labytnangi;в Лабытнанги
Лагань;lagan;в Лагани
Ладушкин;ladushkin;в Ладушкине
Лаишево;laishevo;в Лаишево
Лакинск;lakinsk;в Лакинске
Лангепас;langepas;в Лангепасе
Лахденпохья;lahdenpohya;в Лахденпохье
Лебедянь;lebedyan;в Лебедяни
Лениногорск;leninogorsk;в Лениногорске
Ленинск;leninsk;в Ленинске
Ленинск-Кузнецкий;leninsk-kuzneckij;в Ленинске-Кузнецком
Ленск;lensk;в Ленске
Лермонтов;lermontov;в Лермонтове
Лесной;lesnoj;в Лесном
Лесозаводск;lesozavodsk;в Лесозаводске
Лесосибирск;lesosibirsk;в Лесосибирске
Ливны;livny;в Ливнах
Ликино-Дулёво;likino-dulyovo;в Ликино-Дулёво
Липецк;lipeck;в Липецке
Липки;lipki;в Липках
Лиски;liski;в Лисках
Лихославль;lihoslavl;в Лихославле
Лобня;lobnya;в Лобне
Лодейное Поле;lodejnoe pole;в Лодейном Поле
Ломоносов;lomonosov;в Ломоносове
Лосино-Петровский;losino-petrovskij;в Лосино-Петровском
Луга;luga;на Лугах
Луза;luza;в Лузе
Лукоянов;lukoyanov;в Лукоянове
Луховицы;luhovicy;в Луховицах
Лысково;lyskovo;в Лысково
Лысьва;lysva;в Лысьве
Лыткарино;lytkarino;в Лыткарино
Льгов;lgov;во Льгове
Любань;lyuban;в Любане
Люберцы;lyubercy;в Люберцах
Любим;lyubim;в Любиме
Людиново;lyudinovo;в Людиново
Лянтор;lyantor;в Лянторе
Магадан;magadan;в Магадане
Магас;magas;в Магасе
Магнитогорск;magnitogorsk;в Магнитогорске
Майкоп;majkop;в Майкопе
Майский;majskij;в Майском
Макаров;makarov;в Макарове
Макарьев;makarev;в Макарьеве
Макушино;makushino;в Макушино
Малая Вишера;malaya vishera;в Малой Вишере
Малгобек;malgobek;в Малгобеке
Малмыж;malmyzh;в Малмыже
Малоархангельск;maloarhangelsk;в Малоархангельске
Малоярославец;maloyaroslavec;в Малоярославце
Мамадыш;mamadysh;в Мамадыше
Мамоново;mamonovo;в Мамоново
Мантурово;manturovo;в Мантурово
Мариинск;mariinsk;в Мариинске
Мариинский Посад;mariinskij posad;в Мариинском Посаде
Маркс;marks;в Марксе
